sample_id	viral_reads	mouse_reads	percent_viral
Control_1_S3_1	1306134	11073074	10.5510304051762
Control_1_S3_2	1303891	11301888	10.3435971707897
Control_2_S6_1	1253457	10447394	10.7125285160883
Control_2_S6_2	1271428	10661024	10.6552115189736
Control_3_S9_1	1368646	10757563	11.2866766522002
Control_3_S9_2	1371605	10943560	11.1375284050193
VEEV_4X_1_S2_1	1399042	10758570	11.5075394740349
VEEV_4X_1_S2_2	1410896	10986372	11.3807009737952
VEEV_4X_2_S5_1	1471178	10765168	12.023017328866
VEEV_4X_2_S5_2	1451524	10948882	11.7054554504103
VEEV_4X_3_S8_1	1341867	10072996	11.755436749438
VEEV_4X_3_S8_2	1359403	10281552	11.6777618331142
VEEV_WT_1_S1_1	1442620	12440468	10.3912040318408
VEEV_WT_1_S1_2	1519908	13260207	10.283465318098
VEEV_WT_2_S4_1	1722388	9501912	15.3451707456144
VEEV_WT_2_S4_2	1684119	9672707	14.8291344782424
VEEV_WT_3_S7_1	1107093	8653212	11.3428115207465
VEEV_WT_3_S7_2	1130509	8901840	11.2686370858909
