"target_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","target_id.1","ens_gene","ext_gene","gene_label","significant"
"ENSMUST00000102825.4",-5.53966436704391,7.20065408027293,19.5945089396842,1.23135779644592e-08,0.000331340415426344,9.11177159658257,"ENSMUST00000102825.4","ENSMUSG00000074896","Ifit3","Ifit3","Higher in Control"
"ENSMUST00000085425.6",-3.81885289615718,7.66081235407455,16.2679320848728,6.20583913678727e-08,0.000331340415426344,8.80381431666012,"ENSMUST00000085425.6","ENSMUSG00000035692","Isg15","Isg15","Higher in Control"
"ENSMUST00000120331.4",-3.85852100516515,6.59654992499371,16.2124330159124,6.39201904848475e-08,0.000331340415426344,8.43301941661173,"ENSMUST00000120331.4","ENSMUSG00000039236","Isg20","Isg20","Higher in Control"
"ENSMUST00000032198.11",-3.242798554215,7.87032482272469,14.3953898843011,1.78004751883036e-07,0.000509463292562471,7.95889239809603,"ENSMUST00000032198.11","ENSMUSG00000030107","Usp18","Usp18","Higher in Control"
"ENSMUST00000102824.4",-4.83202478010644,6.53501152612733,16.0103247974607,7.12425974523813e-08,0.000331340415426344,7.83525727911881,"ENSMUST00000102824.4","ENSMUSG00000034459","Ifit1","Ifit1","Higher in Control"
"ENSMUST00000111214.4",-3.25160274387576,8.15893974070889,12.790442432749,4.88470856859924e-07,0.000790197181355965,7.0133690540326,"ENSMUST00000111214.4","ENSMUSG00000073489","Ifi204","Ifi204","Higher in Control"
"ENSMUST00000165774.8",-3.4278169620965,5.98284717284096,12.8178031367631,4.79682067631927e-07,0.000790197181355965,6.47105391121902,"ENSMUST00000165774.8","ENSMUSG00000028270","Gbp2","Gbp2","Higher in Control"
"ENSMUST00000188251.7",-3.79889499857146,5.39893693229203,12.3190040277112,6.71670789547518e-07,0.000808621622024103,6.22120800880252,"ENSMUST00000188251.7","ENSMUSG00000023341","Mx2","Mx2","Higher in Control"
"ENSMUST00000020970.10",-5.92355622516632,6.68201730838346,12.6604387449041,5.327395566776e-07,0.000792607679750712,6.06508496845374,"ENSMUST00000020970.10","ENSMUSG00000020641","Rsad2","Rsad2","Higher in Control"
"ENSMUST00000020969.5",-4.52697289287837,5.54911446552349,11.2885900763446,1.40216115254449e-06,0.00121326069773774,5.32690313276025,"ENSMUST00000020969.5","ENSMUSG00000020638","Cmpk2","Cmpk2","Higher in Control"
"ENSMUST00000102826.4",-4.5117222129448,7.40490757236958,10.0073312017477,3.82068210354066e-06,0.00236926865044062,4.98635028906291,"ENSMUST00000102826.4","ENSMUSG00000045932","Ifit2","Ifit2","Higher in Control"
"ENSMUST00000029936.5",-4.05139910268077,5.74877248983956,10.1134355334045,3.50198582367012e-06,0.00228496733464002,4.66350846990081,"ENSMUST00000029936.5","ENSMUSG00000040264","Gbp2b","Gbp2b","Higher in Control"
"ENSMUST00000045097.11",-4.3017827279984,5.34449788923858,9.37525239658814,6.528180581935e-06,0.00352020311466747,4.12644143566901,"ENSMUST00000045097.11","ENSMUSG00000040253","Gbp7","Gbp7","Higher in Control"
"ENSMUST00000035266.11",-3.28874886178343,5.2690056448618,8.66783388424377,1.23366519846782e-05,0.00560197355825742,3.79880367436532,"ENSMUST00000035266.11","ENSMUSG00000078853","Igtp","Igtp","Higher in Control"
"ENSMUST00000038816.13",-6.14296414308206,6.35308580269972,9.0758937163977,8.503365824024e-06,0.00433403742759536,3.66154961810194,"ENSMUST00000038816.13","ENSMUSG00000034855","Cxcl10","Cxcl10","Higher in Control"
"ENSMUST00000073707.9",-3.2774937139933,4.70534393746675,9.00245959943068,9.0829877643482e-06,0.00443874726536842,3.58629556827488,"ENSMUST00000073707.9","ENSMUSG00000017652","Cd40","Cd40","Higher in Control"
"ENSMUST00000165310.3",-3.3117106065094,4.21935697992132,8.29803368858044,1.75007901313479e-05,0.00707773802627241,3.05287702291381,"ENSMUST00000165310.3","ENSMUSG00000079419","Ms4a6c","Ms4a6c","Higher in Control"
"ENSMUST00000081776.11",-3.19841784815032,6.99262711708742,7.57536831837838,3.59673848672181e-05,0.0105373109350755,2.76964633960831,"ENSMUST00000081776.11","ENSMUSG00000057346","Apol9a","Apol9a","Higher in Control"
"ENSMUST00000076249.6",-5.6687559690195,4.74814278354837,9.08970212887557,8.39899204154699e-06,0.00433403742759536,2.69955050610653,"ENSMUST00000076249.6","ENSMUSG00000062488","Ifit3b","Ifit3b","Higher in Control"
"ENSMUST00000229175.2",-3.36832718535638,3.08348614418851,7.60607846603105,3.48462349485881e-05,0.0104558376107429,2.19568701519029,"ENSMUST00000229175.2","ENSMUSG00000057346","Apol9a","Apol9a","Higher in Control"
"ENSMUST00000022722.7",-4.66958312320248,5.56252674948241,7.090886940386,6.00639541354487e-05,0.0153733322264971,1.97029560094589,"ENSMUST00000022722.7","ENSMUSG00000022126","Acod1","Acod1","Higher in Control"
"ENSMUST00000050011.10",-3.70529488554548,3.61344382541381,7.48547016663164,3.94831915842207e-05,0.0111291750702583,1.94412550862242,"ENSMUST00000050011.10","ENSMUSG00000079362","Gm43302","Gm43302","Higher in Control"
"ENSMUST00000056071.13",-4.41606287626509,3.15233451623419,8.26716747841609,1.80291673481792e-05,0.00721302397337317,1.84373190566578,"ENSMUST00000056071.13","ENSMUSG00000043263","Ifi209","Ifi209","Higher in Control"
"ENSMUST00000191103.2",-3.60146946646019,3.59914821010535,6.85721139337252,7.76323785349933e-05,0.0184298250550921,1.70534703529491,"ENSMUST00000191103.2","ENSMUSG00000023341","Mx2","Mx2","Higher in Control"
"ENSMUST00000032259.6",-3.24392347003793,3.76306873045187,6.7374902114674,8.87542084458346e-05,0.0200517218124504,1.48834195512565,"ENSMUST00000032259.6","ENSMUSG00000030156","Cd69","Cd69","Higher in Control"
"ENSMUST00000122808.2",-4.64913221987882,4.19283972732544,7.00747208834605,6.57781822476627e-05,0.0163002351811159,1.11404154677521,"ENSMUST00000122808.2","ENSMUSG00000060183","Cxcl11","Cxcl11","Higher in Control"
"ENSMUST00000046745.7",-3.61085450931526,3.11249280812343,6.68919448548715,9.37242548108074e-05,0.0202744090043355,0.990116423112474,"ENSMUST00000046745.7","ENSMUSG00000078921","Tgtp2","Tgtp2","Higher in Control"
"ENSMUST00000046383.12",-4.09575525746756,2.68443546273631,6.67930230777425,9.47793189845024e-05,0.0203841278696901,0.958061066610776,"ENSMUST00000046383.12","ENSMUSG00000039304","Tnfsf10","Tnfsf10","Higher in Control"
"ENSMUST00000186500.3",-3.41330277829765,2.2063412397904,5.66790788569068,0.000317501860529811,0.0466951394092463,0.0748576449090068,"ENSMUST00000186500.3",NA,NA,"ENSMUST00000078827.3","Higher in Control"
"ENSMUST00000071069.13",-4.48589845082793,2.35260028582487,5.78347668382406,0.0002746825445674,0.0418857108021281,-0.0623381776903527,"ENSMUST00000071069.13","ENSMUSG00000057596","Trim30d","Trim30d","Higher in Control"
"ENSMUST00000053612.14",-4.27803894172471,1.93391359431431,6.26123746338457,0.000153774942574798,0.0281847501890666,-0.114891324374732,"ENSMUST00000053612.14","ENSMUSG00000043939","A530064D06Rik","A530064D06Rik","Higher in Control"
"ENSMUST00000324240.1",-4.58489060042307,1.58424973304151,6.24812740728154,0.00015618106342582,0.0282088778004101,-0.666680739129438,"ENSMUST00000324240.1",NA,NA,"ENSMUST00000078827.3","Higher in Control"
"ENSMUST00000020830.14",-7.22036151134907,-1.0916399667752,8.00166026435377,2.33719419445557e-05,0.00828190327553412,-0.917096934254107,"ENSMUST00000020830.14","ENSMUSG00000020522","Mfap3","Mfap3","Higher in Control"
"ENSMUST00000039327.11",7.37292461830037,-2.52226210246042,-7.49728991925711,3.90001246889016e-05,0.0110769285442745,-1.02226473494493,"ENSMUST00000039327.11","ENSMUSG00000035735","Dagla","Dagla","Higher in 4x"
"ENSMUST00000125567.8",-6.91358537430997,-0.627487779442942,7.10807630685742,5.89552885879762e-05,0.0152329821006446,-1.12826550937444,"ENSMUST00000125567.8","ENSMUSG00000035735","Dagla","Dagla","Higher in Control"
"ENSMUST00000184582.2",-6.70757004208969,-2.7220635526948,6.3635047876283,0.000136335602095384,0.0264199934748071,-1.36341185405696,"ENSMUST00000184582.2","ENSMUSG00000040410","Fbxl4","Fbxl4","Higher in Control"
"ENSMUST00000037994.8",-5.85134211116035,1.821479724664,6.058107427212,0.000196077932138397,0.0337753315790432,-1.36994262162584,"ENSMUST00000037994.8","ENSMUSG00000078763","Slfn1","Slfn1","Higher in Control"
"ENSMUST00000106561.8",-7.49143627944245,0.217480743844482,6.19667730471057,0.000166028150353005,0.0295569827281543,-1.37276463570677,"ENSMUST00000106561.8","ENSMUSG00000047798","Cd300lf","Cd300lf","Higher in Control"
"ENSMUST00000207858.2",7.4553741211967,-2.51147797430112,-5.97094271183194,0.000217985445695796,0.0364877129658075,-1.46663322603063,"ENSMUST00000207858.2","ENSMUSG00000036882","Arhgap33","Arhgap33","Higher in 4x"
"ENSMUST00000026267.16",-6.09550359084332,-2.77273950979406,5.92053403406624,0.000231860425192776,0.0373972775492245,-1.53818844664727,"ENSMUST00000026267.16","ENSMUSG00000025237","Parp6","Parp6","Higher in Control"
"ENSMUST00000165566.8",-5.98397459832156,-2.96429135290362,5.90908079037791,0.000235145075789231,0.0377113915296979,-1.56730061687219,"ENSMUST00000165566.8","ENSMUSG00000040929","Rfx3","Rfx3","Higher in Control"
