"target_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","target_id.1","ens_gene","ext_gene","significant"
"ENSMUST00000024988.15",-4.31607833137478,7.9876183187704,-29.4788951890205,3.40061589500357e-10,1.26526715605398e-05,13.2999307537601,"ENSMUST00000024988.15","ENSMUSG00000024164","C3","Higher in WT"
"ENSMUST00000042105.11",-3.99537086666927,7.41488559902706,-24.5870836920014,1.68372367819509e-09,2.8801460634317e-05,12.0405410074648,"ENSMUST00000042105.11","ENSMUSG00000040435","Ppp1r15a","Higher in WT"
"ENSMUST00000028234.12",-3.20075990075261,6.87344319364224,-19.4421832985741,1.31816945299832e-08,5.86968542790194e-05,10.2984352917875,"ENSMUST00000028234.12","ENSMUSG00000026875","Traf1","Higher in WT"
"ENSMUST00000032239.11",-3.54303226471125,7.59212586849524,-16.1086432309979,6.75704930670515e-08,0.000125704766777289,8.94091620605107,"ENSMUST00000032239.11","ENSMUSG00000030142","Clec4e","Higher in WT"
"ENSMUST00000065679.8",-3.20164897226792,4.69079416415193,-16.6951474523031,4.95837561498369e-08,0.000122990854337799,8.48880654483706,"ENSMUST00000065679.8","ENSMUSG00000053318","Slamf8","Higher in WT"
"ENSMUST00000035938.3",-6.73181199779236,6.02446190939549,-17.3523475802256,3.54744438320052e-08,0.000109991469304785,8.40173499517551,"ENSMUST00000035938.3","ENSMUSG00000035042","Ccl5","Higher in WT"
"ENSMUST00000165774.8",-4.20976121054395,5.98284717284096,-16.1615862638743,6.56804028318308e-08,0.000125704766777289,8.19130042388624,"ENSMUST00000165774.8","ENSMUSG00000028270","Gbp2","Higher in WT"
"ENSMUST00000116629.9",-3.6313284076036,5.23042671758065,-15.0173025586617,1.23759719940563e-07,0.000164454567851019,8.05922888884416,"ENSMUST00000116629.9","ENSMUSG00000037447","Arid5a","Higher in WT"
"ENSMUST00000164773.2",-3.18072654208197,4.45704069030809,-14.4739257480745,1.69884097281612e-07,0.000184800396426813,7.64103170409057,"ENSMUST00000164773.2","ENSMUSG00000020205","Phlda1","Higher in WT"
"ENSMUST00000199839.5",-3.41410364309218,4.91326298724666,-15.1733276707104,1.13222255918411e-07,0.000156024462072456,7.39901250530157,"ENSMUST00000199839.5","ENSMUSG00000043953","Ccrl2","Higher in WT"
"ENSMUST00000068569.5",-4.23899319567667,3.47627293121609,-14.4532946720394,1.71976864400858e-07,0.000184800396426813,6.79668959539934,"ENSMUST00000068569.5","ENSMUSG00000089929","Bcl2a1b","Higher in WT"
"ENSMUST00000160792.8",-3.8142552423178,3.8960364006012,-14.2327557621675,1.96224417362598e-07,0.000197322213427302,6.7834236495756,"ENSMUST00000160792.8","ENSMUSG00000089844","Sp140l1","Higher in WT"
"ENSMUST00000222378.2",-3.44081988358095,5.42827327730891,-12.2316863605172,7.1334156866127e-07,0.000381171334838347,6.5972308886005,"ENSMUST00000222378.2","ENSMUSG00000021007","Spata7","Higher in WT"
"ENSMUST00000098486.4",-3.79702263187433,3.52819602472293,-13.5129327686456,3.05906878236228e-07,0.000251823294537406,6.52243456563725,"ENSMUST00000098486.4","ENSMUSG00000099974","Bcl2a1d","Higher in WT"
"ENSMUST00000102825.4",-3.39345483336237,7.20065408027293,-12.1789577460107,7.3988576617087e-07,0.000381171334838347,6.38233279511674,"ENSMUST00000102825.4","ENSMUSG00000074896","Ifit3","Higher in WT"
"ENSMUST00000113402.4",-3.71328415512241,4.10685229685875,-12.633705862433,5.42382623609876e-07,0.000349697293280527,5.80380495146233,"ENSMUST00000113402.4","ENSMUSG00000079457","Gm7609","Higher in WT"
"ENSMUST00000073707.9",-4.34836823173578,4.70534393746675,-12.212080534416,7.23086327025946e-07,0.000381171334838347,5.61915591026534,"ENSMUST00000073707.9","ENSMUSG00000017652","Cd40","Higher in WT"
"ENSMUST00000108450.5",-3.37798901874229,5.08077147678831,-10.8493203945545,1.95424224369831e-06,0.000580308712663041,5.61480040328258,"ENSMUST00000108450.5","ENSMUSG00000062300","Nectin2","Higher in WT"
"ENSMUST00000102824.4",-3.272569441745,6.53501152612733,-11.0103882388017,1.72793309091156e-06,0.000535760054279552,5.59041791409646,"ENSMUST00000102824.4","ENSMUSG00000034459","Ifit1","Higher in WT"
"ENSMUST00000045042.8",-3.21492871874139,3.98550317505854,-11.669383362873,1.06110335596092e-06,0.000433591232876821,5.5893272756582,"ENSMUST00000045042.8","ENSMUSG00000039699","Batf2","Higher in WT"
"ENSMUST00000114482.3",-3.30558312502457,4.02313928832425,-11.1448412380329,1.56109639344236e-06,0.000524814967542363,5.36097785660493,"ENSMUST00000114482.3","ENSMUSG00000026981","Il1rn","Higher in WT"
"ENSMUST00000213760.2",4.57574742733794,5.89265556712054,10.1914828492469,3.2862926649011e-06,0.000731474546865864,5.10430496718261,"ENSMUST00000213760.2","ENSMUSG00000032399","Rpl4","Higher in 4x"
"ENSMUST00000029936.5",-3.9911856640638,5.74877248983956,-10.1460927978317,3.40988880529961e-06,0.000734561725612811,4.84004072909306,"ENSMUST00000029936.5","ENSMUSG00000040264","Gbp2b","Higher in WT"
