"target_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","target_id.1","ens_gene","ext_gene","gene_label","significant"
"ENSMUST00000024988.15",-6.25144593860688,7.9876183187704,45.6142029571497,7.11009074713177e-12,2.64545146428532e-07,17.1735649178104,"ENSMUST00000024988.15","ENSMUSG00000024164","C3","C3","Higher in Control"
"ENSMUST00000042105.11",-5.42707532735119,7.41488559902706,35.7111540882372,6.23352245113944e-11,1.08855846218714e-06,15.4607429817232,"ENSMUST00000042105.11","ENSMUSG00000040435","Ppp1r15a","Ppp1r15a","Higher in Control"
"ENSMUST00000025263.15",-4.16728214425057,7.14860047883336,33.6362374470464,1.0590836405612e-10,1.08855846218714e-06,15.033243927544,"ENSMUST00000025263.15","ENSMUSG00000024401","Tnf","Tnf","Higher in Control"
"ENSMUST00000019074.4",-4.67292886232949,8.18156432291931,32.2237695826526,1.5480601185115e-10,1.08855846218714e-06,14.8449345845635,"ENSMUST00000019074.4","ENSMUSG00000018930","Ccl4","Ccl4","Higher in Control"
"ENSMUST00000062356.7",-3.79174968156377,8.31511085189011,29.4062575763278,3.47552791033518e-10,1.08855846218714e-06,14.14163335712,"ENSMUST00000062356.7","ENSMUSG00000047945","Marcksl1","Marcksl1","Higher in Control"
"ENSMUST00000028234.12",-4.69311344694516,6.87344319364224,30.0307784249699,2.88667137004986e-10,1.08855846218714e-06,14.096209421412,"ENSMUST00000028234.12","ENSMUSG00000026875","Traf1","Traf1","Higher in Control"
"ENSMUST00000102678.5",-3.80807861625251,7.14979818434845,29.458520515213,3.42144587008746e-10,1.08855846218714e-06,14.0017942021044,"ENSMUST00000102678.5","ENSMUSG00000067212","H2-T23","H2-T23","Higher in Control"
"ENSMUST00000025582.11",-4.28620731674087,6.23770146596532,29.7712317931131,3.11675103421175e-10,1.08855846218714e-06,13.8691593573535,"ENSMUST00000025582.11","ENSMUSG00000024679","Ms4a6d","Ms4a6d","Higher in Control"
"ENSMUST00000246973.2",-4.17982356760916,5.57388883239505,30.3722858833821,2.61218313746213e-10,1.08855846218714e-06,13.8408831896211,"ENSMUST00000246973.2",NA,NA,"ENSMUST00000024988.15","Higher in Control"
"ENSMUST00000085425.6",-6.494779801642,7.66081235407455,29.0869603450856,3.82730084767216e-10,1.08855846218714e-06,13.7869936860191,"ENSMUST00000085425.6","ENSMUSG00000035692","Isg15","Isg15","Higher in Control"
"ENSMUST00000078827.3",-3.31121334098398,7.01007931777311,28.1777209546188,5.06576581844095e-10,1.17801218004208e-06,13.6232540999811,"ENSMUST00000078827.3","ENSMUSG00000062783","Csprs","Csprs","Higher in Control"
"ENSMUST00000086399.6",-3.55569418038788,7.25177926626379,27.54904573656,6.18160130620599e-10,1.27777133222226e-06,13.5212388010058,"ENSMUST00000086399.6","ENSMUSG00000037405","Icam1","Icam1","Higher in Control"
"ENSMUST00000102825.4",-8.93311920040628,7.20065408027293,32.5595782188174,1.4123997439657e-10,1.08855846218714e-06,13.5166747069696,"ENSMUST00000102825.4","ENSMUSG00000074896","Ifit3","Ifit3","Higher in Control"
"ENSMUST00000093506.12",-3.28197454148844,7.25797570187677,27.0792185666938,7.19420025010439e-10,1.33231365271733e-06,13.3973379913699,"ENSMUST00000093506.12","ENSMUSG00000052477","Sp140l2","Sp140l2","Higher in Control"
"ENSMUST00000026571.11",-4.92799850284195,8.46701550355058,26.8747057921586,7.69148839723103e-10,1.33231365271733e-06,13.3776622765341,"ENSMUST00000026571.11","ENSMUSG00000025498","Irf7","Irf7","Higher in Control"
"ENSMUST00000108268.10",-3.3220359877188,8.37865434189661,26.8018430444368,7.87779191006565e-10,1.33231365271733e-06,13.3622999500809,"ENSMUST00000108268.10","ENSMUSG00000001123","Lgals9","Lgals9","Higher in Control"
"ENSMUST00000166121.4",-4.95043636628329,6.93483021614033,27.3663019032858,6.55533110511088e-10,1.283706339094e-06,13.3239192459569,"ENSMUST00000166121.4","ENSMUSG00000091649","Phf11b","Phf11b","Higher in Control"
"ENSMUST00000120331.4",-6.58838933342854,6.59654992499371,28.8643324635848,4.09595465117314e-10,1.08855846218714e-06,13.3116561178539,"ENSMUST00000120331.4","ENSMUSG00000039236","Isg20","Isg20","Higher in Control"
"ENSMUST00000023248.13",-4.0951893022603,8.11019819080945,26.619188638359,8.36724901611511e-10,1.35356623540259e-06,13.2939787633333,"ENSMUST00000023248.13","ENSMUSG00000075602","Ly6a","Ly6a","Higher in Control"
"ENSMUST00000029623.11",-3.28252886253256,7.81069700725161,26.3752297748948,9.07449122783616e-10,1.40681081297542e-06,13.2181923556139,"ENSMUST00000029623.11","ENSMUSG00000027995","Tlr2","Tlr2","Higher in Control"
"ENSMUST00000079421.15",-3.86835671240844,7.33027003047891,26.2067285309306,9.60170923492802e-10,1.42900318201587e-06,13.094584984341,"ENSMUST00000079421.15","ENSMUSG00000002307","Daxx","Daxx","Higher in Control"
"ENSMUST00000165774.8",-7.63757817264045,5.98284717284096,30.1967682078404,2.74944855831501e-10,1.08855846218714e-06,12.9783849977749,"ENSMUST00000165774.8","ENSMUSG00000028270","Gbp2","Gbp2","Higher in Control"
